Age,Sex,Job,Housing,Savings account,Checking account,Credit amount,Duration,Purpose,description,target
40,male,3,own,little,moderate,4297,18,furniture/equipment,"""""""

        This 40-year-old male customer is a highly skilled worker who owns his residence. He has a moderate current account and a small savings account, and is seeking a €4,297 loan to purchase furniture and equipment, which he intends to repay over an 18-month period.",good risk
52,male,2,own,quite rich,unknown,936,9,education,"""""""

customer_description = ""The customer is a 52-year-old male with a skilled occupation, who owns his residence. He has a substantial savings account, although no information is available regarding his checking account, and is seeking a €936 loan for educational purposes, to be repaid over a 9-month period.""",good risk
27,male,1,own,little,little,1168,12,car,"""""""

        The customer is a 27-year-old male who is an unskilled worker and a resident, owning his residence. He has limited savings and current accounts, and is seeking a €1,168 loan for 12 months to finance a car purchase.",bad risk
26,male,2,own,little,unknown,5117,27,business,"""""""

customer_description = ""This 26-year-old male customer, classified as skilled, is a homeowner. He has a limited savings account and has requested a €5,117 loan for business purposes, to be repaid over 27 months; however, no information is available regarding his checking account.""",good risk
21,male,2,rent,little,little,902,12,education,"""""""

    This 21-year-old male customer is a skilled worker who rents his accommodation. He has limited savings and current accounts, and is seeking a €902 loan for educational purposes, to be repaid over 12 months.",bad risk
38,male,1,own,little,unknown,1495,12,car,"""""""

        The customer is a 38-year-old male, residing in his own home, and working in an unskilled capacity. He has a limited savings account and has requested a €1,495 loan to purchase a car, with a repayment term of 12 months; however, no information is available regarding his checking account.",bad risk
38,male,3,free,little,little,10623,30,car,"""""""

customer_description = ""The customer is a 38-year-old male with a highly skilled occupation, who owns his residence outright. He has limited savings and current accounts, and is seeking a €10,623 loan to purchase a car, with a repayment term of 30 months.""",good risk
43,male,2,own,little,unknown,1935,12,furniture/equipment,"""""""

    The customer is a 43-year-old male with a skilled occupation, who owns his residence. He has a limited savings account and has requested a €1,935 loan for 12 months to finance furniture and equipment, although no information is available about his checking account.",good risk
26,male,2,own,little,moderate,1424,12,domestic appliances,"""""""

        This 26-year-old male customer is a skilled worker who owns his residence. He has a moderate current account and a small savings account, and is seeking a €1,424 loan for 12 months to finance domestic appliances.",good risk
21,male,1,own,little,little,6568,24,business,"""""""

        The customer is a 21-year-old male who is an unskilled worker and resident, owning his residence. He has limited savings and checking accounts, and is seeking a €6,568 loan for business purposes, to be repaid over 24 months.",bad risk
55,male,2,own,rich,unknown,1413,12,car,"""""""

        This 55-year-old male customer is a skilled worker who owns his residence. He has a rich savings account, although there is no information available about his checking account. He is seeking a €1,413 loan to finance a car purchase, which he intends to repay over a 12-month period.",good risk
33,male,2,own,unknown,unknown,3074,9,radio/TV,"""""""

customer_description = ""The customer is a 33-year-old male with a skilled occupation, who owns his residence. He has requested a loan of €3,074 to be repaid over 9 months, with the purpose of purchasing a radio or TV, although no information is available regarding his savings or checking account.""",good risk
45,female,1,own,unknown,unknown,3835,36,radio/TV,"""""""

        The customer is a 45-year-old female resident who works in an unskilled profession and owns her home. She has requested a loan of €3,835 to be repaid over 36 months, with the purpose of purchasing a radio or TV, although no information is available regarding her current savings or checking account status.",bad risk
50,male,2,own,little,little,5293,27,business,"""""""

customer_description = ""The customer is a 50-year-old male with a skilled occupation, who owns his residence. He has limited savings and current accounts, and is seeking a €5,293 loan for business purposes, to be repaid over 27 months.""",good risk
66,male,3,own,little,rich,1908,30,business,"""""""

customer_description = ""The customer is a 66-year-old male, highly skilled and a homeowner. He has a rich current account and a small savings account. He is seeking a €1,908 loan for business purposes, to be repaid over 30 months.""",good risk
51,male,2,own,unknown,unknown,3342,36,radio/TV,"""""""

        The customer is a 51-year-old male with a skilled occupation, who owns his residence. He has requested a loan of €3,342 to be repaid over 36 months, with the purpose of purchasing a radio or TV. No information is available regarding his savings or checking account.",good risk
39,female,1,own,unknown,moderate,932,6,education,"""""""

customer_description = ""This 39-year-old female customer, who is an unskilled worker and resident, owns her home. She has a moderate current account, but there is no information available about her savings account. She is seeking a €932 loan for educational purposes, which she intends to repay over a period of 6 months.""",bad risk
31,male,2,own,little,little,3104,18,business,"""""""

        This 31-year-old male customer is a skilled worker who owns his residence. He has limited savings and current accounts, and is seeking a €3,104 loan for business purposes, to be repaid over 18 months.",good risk
23,male,2,own,little,rich,3913,36,radio/TV,"""""""

        This 23-year-old male customer, classified as skilled, is a homeowner with a modest savings account but a substantial current account. He is seeking a €3,913 loan to finance a radio/TV purchase, which he intends to repay over 36 months.",good risk
24,male,1,rent,little,little,3021,24,furniture/equipment,"""""""

        This 24-year-old male customer is an unskilled worker residing in a rented accommodation. He has limited savings and current accounts, and is seeking a €3,021 loan to purchase furniture and equipment, with a repayment period of 24 months.",bad risk
64,female,2,own,little,unknown,1364,10,car,"""""""

        This 64-year-old female customer, who is skilled and owns her residence, has a limited savings account. She is seeking a €1,364 loan for 10 months to finance a car purchase, but no information is available regarding her checking account.",good risk
26,male,1,own,little,moderate,625,12,radio/TV,"""""""

        The customer is a 26-year-old male who is an unskilled worker and a resident. He owns his home and has a moderate current account balance, but only a small savings account. He is seeking a €625 loan for 12 months to purchase a radio or TV.",bad risk
23,female,2,rent,unknown,little,1200,12,education,"""""""

        This 23-year-old female customer is a skilled worker who rents her accommodation. She has a limited current account and no information is available regarding her savings account; she is seeking a €1,200 loan for educational purposes, to be repaid over 12 months.",bad risk
30,male,2,own,little,unknown,707,12,radio/TV,"""""""

        This 30-year-old male customer is a skilled worker who owns his residence. He has a limited savings account and has requested a €707 loan for 12 months to purchase a radio or TV, although no information is available regarding his checking account.",good risk
32,male,2,own,unknown,unknown,2978,24,business,"""""""

        The customer is a 32-year-old male with a skilled occupation, who owns his residence. He has requested a €2,978 loan for business purposes, to be repaid over a 24-month period. No information is available regarding his savings or checking account.",good risk
30,male,2,own,little,unknown,4657,15,car,"""""""

        This 30-year-old male customer, classified as skilled, is a homeowner with limited savings. He has requested a €4,657 loan to finance a car purchase, with a repayment period of 15 months, although no information is available regarding his checking account.",good risk
27,male,2,own,little,unknown,2613,36,repairs,"""""""

customer_description = ""This 27-year-old male customer is a skilled worker who owns his residence. He has a limited savings account and has requested a €2,613 loan for repairs, to be repaid over 36 months; however, no information is available regarding his checking account.""",good risk
27,male,2,own,rich,moderate,10961,48,radio/TV,"""""""

        This 27-year-old male customer is a skilled worker who owns his residence. He has a rich savings account and a moderate current account, and is seeking a €10,961 loan to be repaid over 48 months, with the purpose of purchasing a radio or TV.",good risk
53,male,3,free,little,little,7865,12,furniture/equipment,"""""""

description = ""This 53-year-old male customer, employed in a highly skilled profession, owns his residence outright. He has limited savings and checking accounts, and is seeking a €7,865 loan to purchase furniture and equipment, with a repayment term of 12 months.""",good risk
22,male,2,own,little,unknown,1478,9,radio/TV,"""""""

customer_description = ""This 22-year-old male customer is a skilled worker who owns his residence. He has a small savings account, but there is no information available about his checking account. He is requesting a €1,478 loan for a radio/TV purchase, which he intends to repay over a 9-month period.""",good risk
22,male,2,free,little,little,3149,24,furniture/equipment,"""""""

description = ""This 22-year-old male customer, classified as skilled, owns his residence for free. He has limited savings and checking accounts, and is seeking a €3,149 credit for 24 months to purchase furniture and equipment.""

# Output: description
print(description)",good risk
26,male,2,own,little,rich,4210,36,radio/TV,"""""""

        This 26-year-old male customer, classified as skilled, is a homeowner with a modest savings account and a substantial current account. He is seeking a €4,210 loan for a 36-month term to finance a radio/TV purchase.",good risk
51,male,1,free,quite rich,unknown,2507,9,car,"""""""

        This 51-year-old male customer, who is an unskilled worker and resident, owns his home free of mortgage. He has a substantial savings account, but there is no information available about his checking account. He is seeking a €2,507 loan to purchase a car, which he intends to repay over a 9-month period.",good risk
35,male,2,own,moderate,unknown,2141,12,radio/TV,"""""""

    This 35-year-old male customer is a skilled worker who owns his residence. He has a moderate savings account, but there is no information available about his checking account. He is seeking a €2,141 loan for 12 months to purchase a radio or TV.",good risk
25,male,1,own,little,moderate,866,18,radio/TV,"""""""

        The customer is a 25-year-old male who is an unskilled worker and a resident, owning his residence. He has a moderate current account and a small savings account, and is seeking a €866 loan for 18 months to purchase a radio or TV.",bad risk
42,male,1,own,little,unknown,1544,4,radio/TV,"""""""

        The customer is a 42-year-old male, residing in his own home, with an unskilled occupation. He has a small savings account, but there is no information available regarding his checking account. He is seeking a loan of €1,544 to purchase a radio or TV, which he intends to repay over a period of 4 months.",bad risk
30,male,3,own,little,little,1823,24,radio/TV,"""""""

        This 30-year-old male customer, classified as highly skilled, is a homeowner with limited savings and checking accounts. He has requested a €1,823 loan to be repaid over 24 months, with the purpose of purchasing a radio or TV.",good risk
23,male,0,own,unknown,moderate,14555,6,car,"""""""

        The customer is a 23-year-old male who works in an unskilled and non-resident capacity. He owns his residence and has a moderate current account, although there is no information available regarding his savings account. He is seeking a €14,555 loan for a 6-month period to finance the purchase of a car.",bad risk
61,male,1,rent,moderate,moderate,2767,21,business,"""""""

        This 61-year-old male customer is an unskilled worker residing in a rented home. He maintains moderate savings and current accounts, and is seeking a €2,767 loan for business purposes, to be repaid over 21 months.",bad risk
35,female,2,own,little,unknown,1291,12,radio/TV,"""""""

        This 35-year-old female customer is a skilled worker who owns her residence. She has a limited savings account and has requested a €1,291 loan for 12 months to purchase a radio or TV, although no information is available about her checking account.",good risk
39,male,2,own,little,little,2522,30,radio/TV,"""""""

        The customer is a 39-year-old male with a skilled occupation, who owns his residence. He has limited savings and current accounts, and is seeking a €2,522 loan for a radio/TV purchase, to be repaid over 30 months.",good risk
29,female,2,own,unknown,little,915,24,car,"""""""

        This 29-year-old female customer is a skilled worker who owns her residence. She has a current account with a relatively small balance, but no information is available about her savings account. She is seeking a €915 loan to finance a car purchase, which she intends to repay over a 24-month period.",good risk
51,male,2,own,little,unknown,1595,6,radio/TV,"""""""

customer_description = ""The customer is a 51-year-old male with a skilled occupation, who owns his residence. He has a limited savings account and has requested a €1,595 loan for a radio/TV purchase, to be repaid over a 6-month period; however, no information is available regarding his checking account.""",good risk
24,male,2,free,little,little,4605,48,car,"""""""

        The customer is a 24-year-old male with a skilled occupation, who owns his residence free of mortgage. He has limited savings and current accounts, and is seeking a €4,605 loan to finance a car purchase, which he intends to repay over 48 months.",good risk
27,female,2,own,little,unknown,1185,12,business,"""""""

        This 27-year-old female customer is a skilled worker who owns her residence. She has a small savings account, but there is no information available regarding her checking account. She is seeking a €1,185 loan for business purposes, which she intends to repay over a 12-month period.",good risk
35,female,1,own,quite rich,unknown,3447,12,education,"""""""

customer_description = ""The customer is a 35-year-old female resident who works in an unskilled capacity and owns her home. She has a substantial savings account, but there is no information available about her checking account. She is seeking a €3,447 loan for educational purposes, which she intends to repay over a 12-month period.""",good risk
25,male,2,own,little,unknown,1258,24,business,"""""""

        This 25-year-old male customer is a skilled worker who owns his residence. He has a limited savings account and has requested a €1,258 loan for business purposes, which he intends to repay over 24 months; however, no information is available regarding his checking account.",good risk
52,male,2,own,little,unknown,717,12,radio/TV,"""""""

customer_description = ""This 52-year-old male customer, classified as skilled, is a homeowner with limited savings. He has requested a €717 loan for a 12-month period to purchase a radio/TV, although no information is available about his checking account.""",good risk
35,male,2,rent,moderate,unknown,1204,6,car,"""""""

        This 35-year-old male customer, classified as skilled, currently rents his residence. He has a moderate savings account, but no information is available about his checking account. He is seeking a €1,204 loan to finance a car purchase, which he intends to repay over a 6-month period.",good risk
26,male,2,own,little,rich,1925,24,furniture/equipment,"""""""

        The customer is a 26-year-old male with a skilled occupation, who owns his residence. He has a limited savings account but a substantial current account, and is seeking a €1,925 loan to be repaid over 24 months, specifically to purchase furniture and equipment.",good risk
22,female,2,rent,little,unknown,433,18,radio/TV,"""""""

        This 22-year-old female customer is a skilled worker who rents her accommodation. She has a small savings account, but no information is available about her checking account; she is seeking a €433 loan for 18 months to purchase a radio or TV.",bad risk
39,female,1,own,rich,little,666,6,car,"""""""

        This 39-year-old female customer is an unskilled worker residing in her own home. She has a rich savings account and a limited current account, and is seeking a €666 loan for 6 months to finance a car purchase.",good risk
46,female,1,own,little,rich,2251,12,furniture/equipment,"""""""

        This 46-year-old female customer, who is an unskilled worker and resident, owns her home and has a limited savings account, but a substantial current account. She is seeking a €2,251 loan for 12 months to purchase furniture and equipment.",good risk
24,female,2,own,little,moderate,2150,30,car,"""""""

        This 24-year-old female customer is a skilled worker who owns her residence. She has a moderate current account balance and a relatively small savings account, and is seeking a €2,150 loan to finance a car purchase, which she intends to repay over 30 months.",good risk
35,male,2,own,moderate,unknown,4151,24,furniture/equipment,"""""""

        The customer is a 35-year-old male with a skilled occupation, who owns his residence. He has a moderate savings account, but there is no information available about his checking account. He is requesting a €4,151 loan to be repaid over 24 months, which will be used to purchase furniture and equipment.",good risk
24,male,2,own,unknown,moderate,2030,9,furniture/equipment,"""""""

        The customer is a 24-year-old male with a skilled occupation, who owns his residence. He has a moderate current account and is seeking a €2,030 loan for 9 months to purchase furniture and equipment, but no information is available regarding his savings account.",good risk
27,male,1,own,unknown,moderate,7418,60,radio/TV,"""""""

        The customer is a 27-year-old male who is an unskilled worker and resident, owning his residence. He has a moderate current account, but no information is available about his savings account. He is seeking a €7,418 loan to purchase a radio/TV, which he wishes to repay over a 60-month period.",bad risk
35,male,1,own,little,unknown,2684,24,radio/TV,"""""""

        The customer is a 35-year-old male who works in an unskilled capacity and resides in his own home. He has a limited savings account, but there is no information available regarding his checking account. He is seeking a €2,684 loan to purchase a radio or TV, which he intends to repay over a 24-month period.",bad risk
29,male,2,free,little,little,2149,12,radio/TV,"""""""

        This 29-year-old male customer, employed in a skilled profession, owns his residence free of mortgage. He has limited savings and current accounts, and is seeking a €2,149 loan to purchase a radio or TV, with a repayment term of 12 months.",good risk
23,female,2,own,moderate,unknown,3812,15,car,"""""""

        This 23-year-old female customer is a skilled worker who owns her residence. She has a moderate savings account, but there is no information available about her checking account; she is seeking a €3,812 loan to purchase a car, which she intends to repay over 15 months.",good risk
57,female,1,own,moderate,unknown,1154,11,radio/TV,"""""""

customer_description = ""This 57-year-old female customer, who is an unskilled worker and resident, owns her home and has a moderate savings account. She has requested a loan of €1,154 to purchase a radio/TV, with a repayment term of 11 months; however, no information is available regarding her checking account.""",bad risk
27,male,2,own,little,little,1657,12,furniture/equipment,"""""""

customer_description = ""The customer is a 27-year-old male with a skilled occupation, who owns his residence. He has limited savings and current accounts, and is seeking a €1,657 credit over 12 months to finance furniture and equipment purchases.""",good risk
55,female,2,own,little,little,1603,24,radio/TV,"""""""

        This 55-year-old female customer is a skilled worker who owns her residence. She has limited savings and current accounts, and is seeking a €1,603 loan to be repaid over 24 months, which she intends to use for purchasing a radio or TV.",good risk
36,male,3,free,little,little,5302,18,car,"""""""

        The customer is a 36-year-old male with a highly skilled occupation, who owns his residence outright. He has limited savings and current accounts, and is seeking a €5,302 loan to finance a car purchase, with a repayment term of 18 months.",good risk
57,female,1,free,little,unknown,2748,12,education,"""""""

customer_description = ""The customer is a 57-year-old female resident who works in an unskilled capacity. She owns her home outright and has a small savings account, although no information is available about her checking account. She is seeking a €2,748 loan for educational purposes, which she intends to repay over a 12-month period.""",bad risk
32,male,1,own,little,unknown,1231,10,car,"""""""

        The customer is a 32-year-old male, residing in his own home, and employed in an unskilled capacity. He has a limited savings account and has requested a €1,231 loan to finance a car purchase, with a repayment term of 10 months; however, no information is available regarding his checking account.",bad risk
37,male,2,own,little,moderate,802,15,radio/TV,"""""""

        This 37-year-old male customer is a skilled worker who owns his residence. He has a moderate current account and a small savings account, and is seeking a €802 loan for 15 months to purchase a radio or TV.",good risk
36,male,2,own,unknown,unknown,6304,36,business,"""""""

        The customer is a 36-year-old male with a skilled occupation, who owns his residence. He has requested a €6,304 loan for business purposes, to be repaid over 36 months. No information is available regarding his savings or checking account.",good risk
38,female,2,own,little,unknown,1533,24,radio/TV,"""""""

customer_description = ""This 38-year-old female customer is a skilled worker and a homeowner. She has a small savings account, but there is no information available about her checking account. She is requesting a €1,533 loan to purchase a radio/TV, which she intends to repay over a 24-month period.""",good risk
45,male,3,own,little,little,8978,14,car,"""""""

        The customer is a 45-year-old male with a highly skilled occupation, who owns his residence. He has limited savings and current accounts, and is seeking a €8,978 loan to finance a car purchase, with a repayment period of 14 months.",good risk
25,male,2,own,unknown,unknown,999,24,radio/TV,"""""""

        This 25-year-old male customer is a skilled worker who owns his residence. He has requested a €999 loan for 24 months to purchase a radio or TV, but no information is available regarding his savings or checking account history.",good risk
32,male,2,own,unknown,unknown,2662,18,car,"""""""

        The customer is a 32-year-old male with a skilled occupation, who owns his residence. He has requested a loan of €2,662 to finance a car purchase, with a repayment term of 18 months. No information is available regarding his savings or checking account.",good risk
37,female,2,rent,quite rich,unknown,1402,12,furniture/equipment,"""""""

customer_description = ""The customer is a 37-year-old female with a skilled occupation, who rents her residence. She has a significant amount of savings, but no information is available regarding her checking account. She is requesting a €1,402 loan to be repaid over 12 months, which will be used to purchase furniture and equipment.""",good risk
36,male,3,free,unknown,moderate,12169,48,car,"""""""

        This 36-year-old male customer, classified as highly skilled, owns his residence outright. He has a moderate current account, although no information is available regarding his savings account. He is seeking a €12,169 loan to finance a car purchase, which he intends to repay over a 48-month period.",good risk
28,male,2,own,little,moderate,3060,48,radio/TV,"""""""

description = ""This 28-year-old male customer, employed in a skilled profession, is a homeowner with a moderate current account balance and limited savings. He is seeking a €3,060 loan to purchase a radio or TV, which he intends to repay over 48 months.""",good risk
34,male,1,own,little,little,11998,30,repairs,"""""""

        This 34-year-old male customer, who is an unskilled worker and resident, owns his home and has limited savings and current accounts. He is seeking a €11,998 loan for 30 months to cover repairs, indicating a need for financial assistance for a specific purpose.",bad risk
32,male,2,own,little,unknown,2697,9,radio/TV,"""""""

        This 32-year-old male customer, classified as skilled in his profession, owns his residence and has a limited savings account. He has requested a €2,697 loan for a radio/TV purchase, to be repaid over a 9-month period, although no information is available regarding his checking account.",good risk
26,female,2,own,little,unknown,2404,18,radio/TV,"""""""

        The customer is a 26-year-old female with a skilled occupation, who owns her residence. She has a limited savings account and has requested a €2,404 loan for 18 months to purchase a radio or TV, although no information is available regarding her checking account.",good risk
49,male,1,own,unknown,little,1262,12,furniture/equipment,"""""""

The customer is a 49-year-old male who is an unskilled worker and a resident, owning his residence. He has a limited current account and no information is available regarding his savings account, with a requested loan amount of €1,262 to be repaid over 12 months, intended for purchasing furniture or equipment.",bad risk
32,female,2,own,little,unknown,4611,6,furniture/equipment,"""""""

        The customer is a 32-year-old female with a skilled occupation, who owns her residence. She has a limited savings account and has requested a €4,611 loan for a duration of 6 months to purchase furniture and equipment, with no information available regarding her checking account.",good risk
29,male,3,rent,moderate,unknown,1901,24,radio/TV,"""""""

        This 29-year-old male customer, classified as highly skilled, currently rents his residence. He maintains a moderate savings account, although details about his checking account are not available. He is seeking a €1,901 loan, repayable over 24 months, to finance a radio/TV purchase.",good risk
23,male,2,rent,rich,unknown,3368,15,car,"""""""

        This 23-year-old male customer, classified as skilled, rents his residence and has a rich savings account. He is seeking a €3,368 loan for 15 months to finance a car purchase, although no information is available about his checking account.",good risk
50,male,2,own,little,unknown,1574,12,furniture/equipment,"""""""

customer_description = ""This 50-year-old male customer is a skilled worker who owns his residence. He has a limited savings account and has requested a €1,574 loan for 12 months to purchase furniture and equipment, although no information is available regarding his checking account.""",good risk
49,male,1,own,unknown,rich,1445,18,radio/TV,"""""""

        This 49-year-old male customer, who is an unskilled worker and resident, owns his home. He has a rich current account, but there is no information available about his savings account. He is seeking a loan of €1,445 to purchase a radio or TV, which he wishes to repay over 18 months.",bad risk
63,male,2,own,unknown,unknown,1520,15,furniture/equipment,"""""""

        The customer is a 63-year-old male with a skilled occupation, who owns his residence. He has requested a loan of €1,520 to be repaid over 15 months, with the purpose of purchasing furniture or equipment. No information is available regarding his savings or checking account.",good risk
37,male,2,own,moderate,moderate,3878,24,car,"""""""

        The customer is a 37-year-old male with a skilled occupation, who owns his residence. He has moderate savings and current accounts, and is seeking a €3,878 loan to finance a car purchase, with a repayment term of 24 months.",good risk
35,female,1,own,little,little,10722,47,car,"""""""

description = ""This 35-year-old female customer is an unskilled worker residing in her own home. She has limited savings and current accounts, and is seeking a €10,722 loan to purchase a car, which she intends to repay over 47 months.""",bad risk
26,male,2,own,little,little,4788,48,car,"""""""

customer_description = ""This 26-year-old male customer is a skilled worker who owns his residence. He has limited savings and checking accounts, and is seeking a €4,788 loan to purchase a car, with a repayment period of 48 months.""",good risk
31,male,3,free,moderate,moderate,7582,48,vacation/others,"""""""

description = ""This 31-year-old male customer, employed in a highly skilled profession, owns his residence outright. He maintains moderate savings and current accounts, and is seeking a €7,582 loan to be repaid over 48 months, with the purpose of financing a vacation or other personal expenses.""",good risk
49,female,2,own,little,moderate,1092,12,radio/TV,"""""""

        This 49-year-old female customer is a skilled worker who owns her residence. She has a moderate current account and a small savings account, and is seeking a €1,092 loan for 12 months to purchase a radio or TV.",good risk
48,male,2,own,little,little,1024,24,radio/TV,"""""""

        This 48-year-old male customer, classified as skilled in his profession, is a homeowner. He has limited savings and checking accounts, and is seeking a €1,024 loan to be repaid over 24 months, with the purpose of purchasing a radio or TV.",good risk
26,male,2,own,little,unknown,1076,12,business,"""""""

        The customer is a 26-year-old male with a skilled occupation, who owns his residence. He has a limited savings account and has requested a €1,076 loan for business purposes, to be repaid over a 12-month period; however, no information is available regarding his checking account.",good risk
28,male,3,rent,little,moderate,9398,36,car,"""""""

        This 28-year-old male customer is a highly skilled worker who currently rents his residence. He has a moderate current account balance and a relatively small savings account, and is seeking a €9,398 loan to finance a car purchase, which he intends to repay over 36 months.",good risk
44,female,3,free,little,little,6419,24,car,"""""""

customer_description = ""This 44-year-old female customer is a highly skilled professional who owns her residence outright. She has limited savings and current accounts, and is seeking a €6,419 loan to purchase a car, which she intends to repay over 24 months.""",good risk
56,male,2,free,little,rich,4796,42,car,"""""""

        The customer is a 56-year-old male with a skilled occupation, who owns his residence outright. He has a modest savings account but a substantial current account, and is seeking a €4,796 loan to finance a car purchase, which he intends to repay over 42 months.",good risk
46,male,3,own,unknown,unknown,7629,48,business,"""""""

        The customer is a 46-year-old male with a highly skilled occupation, who owns his residence. He has requested a €7,629 loan for business purposes, with a repayment term of 48 months. No information is available regarding his savings or checking account.",good risk
26,female,2,own,little,moderate,9960,48,furniture/equipment,"""""""

        The customer is a 26-year-old female with a skilled occupation, who owns her residence. She has a moderate current account balance and a relatively small savings account, and is seeking a €9,960 loan to be repaid over 48 months, with the purpose of purchasing furniture and equipment.",good risk
20,female,2,rent,unknown,unknown,4675,12,car,"""""""

        This 20-year-old female customer, classified as skilled, currently rents her residence. She has requested a €4,675 loan to finance a car purchase, with a repayment term of 12 months; however, no information is available regarding her savings or checking account history.",bad risk
45,male,1,own,unknown,unknown,1287,10,car,"""""""

        The customer is a 45-year-old male who works as an unskilled laborer and resides in his own home. He has requested a loan of €1,287 to purchase a car, which he intends to repay over a period of 10 months. No information is available regarding his savings or checking account history.",bad risk
43,male,2,own,little,unknown,2515,18,furniture/equipment,"""""""

        This 43-year-old male customer, classified as skilled, is a homeowner with limited savings. He has requested a €2,515 loan for 18 months to finance furniture and equipment, but no information is available regarding his checking account.",good risk
32,male,2,own,rich,moderate,2745,21,furniture/equipment,"""""""

        This 32-year-old male customer, employed in a skilled profession, owns his residence and maintains a rich savings account and a moderate current account. He is seeking a €2,745 loan to finance furniture and equipment, with a repayment term of 21 months.",good risk
54,female,0,own,little,unknown,672,6,car,"""""""

customer_description = ""The customer is a 54-year-old female who works in an unskilled and non-resident capacity. She owns her home and has a small savings account, although there is no information available regarding her checking account. She is seeking a €672 loan for a 6-month period to purchase a car.""",good risk
42,female,2,own,little,moderate,3804,36,radio/TV,"""""""

        This 42-year-old female customer is a skilled worker who owns her residence. She has a moderate current account and a small savings account, and is seeking a €3,804 loan to be repaid over 36 months, with the purpose of purchasing a radio or TV.",good risk
37,male,1,own,unknown,rich,1344,24,car,"""""""

        The customer is a 37-year-old male who is an unskilled worker and a resident. He owns his home and has a rich current account, although there is no information available about his savings account. He is seeking a €1,344 loan to purchase a car, which he intends to repay over a 24-month period.",good risk
49,male,2,own,little,little,1038,10,car,"""""""

        This 49-year-old male customer, employed in a skilled profession, owns his residence. He has limited savings and current accounts, and is seeking a €1,038 loan for a 10-month period to finance a car purchase.",good risk
44,male,2,free,quite rich,unknown,10127,48,car,"""""""

        The customer is a 44-year-old male with a skilled occupation, who owns his residence outright. He has a substantial savings account, although details about his checking account are not available; he is seeking a €10,127 loan to finance a car purchase, which he intends to repay over 48 months.",good risk
33,male,2,own,rich,unknown,1543,6,furniture/equipment,"""""""

        This 33-year-old male customer is a skilled worker who owns his residence. He has a rich savings account, although there is no information available about his checking account. He is seeking a €1,543 loan for 6 months to purchase furniture and equipment.",good risk
24,female,1,rent,unknown,unknown,4811,30,car,"""""""

customer_description = ""This 24-year-old female customer is an unskilled worker and resident, currently renting her accommodation. She has requested a €4,811 loan to purchase a car, with a repayment term of 30 months, although no information is available regarding her savings or checking account history.""",bad risk
33,male,1,own,moderate,little,727,12,radio/TV,"""""""

        The customer is a 33-year-old male who is an unskilled worker and a resident. He owns his home and has a moderate savings account and a small current account. He is seeking a €727 loan for 12 months to purchase a radio or TV.",bad risk
24,female,2,own,little,moderate,1237,8,furniture/equipment,"""""""

description = ""This 24-year-old female customer is a skilled worker who owns her residence. She has a moderate current account and a small savings account, and is seeking a €1,237 loan for 8 months to purchase furniture and equipment.""

# Output: This 24-year-old female customer is a skilled worker who owns her residence. She has a moderate current account and a small savings account, and is seeking a €1,237 loan for 8 months to purchase furniture and equipment.",good risk
22,male,1,rent,little,moderate,276,9,car,"""""""

        The customer is a 22-year-old male who is an unskilled worker and resident, currently renting his place of residence. He has a modest financial profile, with a small savings account and a moderate current account, and is seeking a €276 loan to purchase a car, which he intends to repay over a 9-month period.",bad risk
40,male,0,free,unknown,moderate,5381,48,vacation/others,"""""""

        The customer is a 40-year-old male who works in an unskilled and non-resident capacity. He owns his home free and clear, and has a moderate current account, although there is no information available regarding a savings account. He is seeking a loan of €5,381 to be repaid over 48 months for the purpose of a vacation or other personal expenses.",bad risk
25,male,2,own,moderate,unknown,5511,24,furniture/equipment,"""""""

    The customer is a 25-year-old male with a skilled occupation, who owns his residence. He has a moderate savings account, but no information is available regarding his checking account. He is seeking a €5,511 loan to finance furniture and equipment, which he intends to repay over a 24-month period.",good risk
26,female,2,own,little,rich,3749,24,furniture/equipment,"""""""

        This 26-year-old female customer, employed in a skilled profession, is a homeowner with a modest savings account but a substantial current account. She is seeking a €3,749 loan to be repaid over 24 months, specifically to purchase furniture and equipment.",good risk
25,male,1,own,little,moderate,685,12,car,"""""""

description = ""The customer is a 25-year-old male who is an unskilled worker and a resident. He owns his home and has a moderate current account balance, although his savings account balance is relatively little. He is seeking a €685 loan for 12 months to purchase a car.""",good risk
29,male,1,own,unknown,rich,1494,4,car,"""""""

        This 29-year-old male customer, who is an unskilled worker and resident, owns his home. He has a rich current account, but no information is available about his savings account. He is seeking a €1,494 loan for a car, to be repaid over 4 months.",bad risk
31,male,2,own,little,little,2746,36,furniture/equipment,"""""""

customer_description = ""This 31-year-old male customer is a skilled worker who owns his residence. He has limited savings and current accounts, and is seeking a €2,746 loan to purchase furniture and equipment, which he intends to repay over 36 months.""",good risk
38,male,1,own,little,little,708,12,furniture/equipment,"""""""

customer_description = ""This 38-year-old male customer is an unskilled worker and resident, who owns his home. He has limited savings and current accounts, and is seeking a €708 loan to purchase furniture or equipment, which he intends to repay over 12 months.""",bad risk
48,female,1,own,unknown,moderate,4351,24,furniture/equipment,"""""""

        The customer is a 48-year-old female resident who works in an unskilled profession. She owns her home and has a moderate current account, although there is no information available about her savings account. She is seeking a €4,351 loan to purchase furniture and equipment, which she plans to repay over a 24-month period.",bad risk
